油站名称,油站编码,油品名称,罐号,油品编码,日期,历史销量,当天温度,当天油价,节假日,当时天气
岷江鱼嘴,MD04,0号 车用柴油(Ⅵ),1,300863,2023/6/30,2992,38,8807.27,工作日,晴
岷江鱼嘴,MD04,92号 车用汽油(ⅥB),2,300874,2023/6/30,5198,38,9600.4,工作日,晴
岷江鱼嘴,MD04,95号 车用汽油(ⅥB),4,300873,2023/6/30,2043,38,9853.37,工作日,晴
岷江青城,MD06,95号 车用汽油(ⅥB),1,300873,2023/6/30,9206,35.7,9853.37,工作日,小雨
岷江青城,MD06,92号 车用汽油(ⅥB),2,300874,2023/6/30,6973,35.7,9600.4,工作日,小雨
岷江青城,MD06,92号 车用汽油(ⅥB),3,300874,2023/6/30,7822,35.7,9600.4,工作日,小雨
岷江青城,MD06,0号 车用柴油(Ⅵ),4,300863,2023/6/30,3817,35.7,8807.27,工作日,小雨
岷江向峨,MD08,0号 车用柴油(Ⅵ),1,300863,2023/6/30,109,36.8,8807.27,工作日,阴
岷江向峨,MD08,92号 车用汽油(ⅥB),2,300874,2023/6/30,1180,36.8,9600.4,工作日,阴
岷江向峨,MD08,95号 车用汽油(ⅥB),3,300873,2023/6/30,282,36.8,9853.37,工作日,阴
岷江聚源,MD09,0号 车用柴油(Ⅵ),1,300863,2023/6/30,30953,30.7,8807.27,工作日,中雨
岷江聚源,MD09,0号 车用柴油(Ⅵ),2,300863,2023/6/30,33361,30.7,8807.27,工作日,中雨
岷江聚源,MD09,92号 车用汽油(ⅥB),3,300874,2023/6/30,2196,30.7,9600.4,工作日,中雨
岷江聚源,MD09,95号 车用汽油(ⅥB),4,300873,2023/6/30,3246,30.7,9853.37,工作日,中雨
岷江聚源,MD09,92号 车用汽油(ⅥB),5,300874,2023/6/30,6625,30.7,9600.4,工作日,中雨
岷江石羊,MD0A,0号 车用柴油(Ⅵ),1,300863,2023/6/30,2532,30.8,8807.27,工作日,小雨
岷江石羊,MD0A,92号 车用汽油(ⅥB),2,300874,2023/6/30,5161,30.8,9600.4,工作日,小雨
岷江石羊,MD0A,92号 车用汽油(ⅥB),3,300874,2023/6/30,2127,30.8,9600.4,工作日,小雨
岷江石羊,MD0A,95号 车用汽油(ⅥB),4,300873,2023/6/30,3160,30.8,9853.37,工作日,小雨
岷江经开区,MD0B,0号 车用柴油(Ⅵ),1,300863,2023/6/30,5954,37.2,8807.27,工作日,晴
岷江经开区,MD0B,0号 车用柴油(Ⅵ),2,300863,2023/6/30,9089,37.2,8807.27,工作日,晴
岷江经开区,MD0B,92号 车用汽油(ⅥB),3,300874,2023/6/30,12406,37.2,9600.4,工作日,晴
岷江经开区,MD0B,95号 车用汽油(ⅥB),4,300873,2023/6/30,6255,37.2,9853.37,工作日,晴
岷江滨河,MD0C,92号 车用汽油(ⅥB),1,300874,2023/6/30,3839,30.6,9600.4,工作日,中雨
岷江滨河,MD0C,0号 车用柴油(Ⅵ),2,300863,2023/6/30,1700,30.6,8807.27,工作日,中雨
岷江滨河,MD0C,95号 车用汽油(ⅥB),3,300873,2023/6/30,8065,30.6,9853.37,工作日,中雨
岷江滨河,MD0C,92号 车用汽油(ⅥB),4,300874,2023/6/30,6998,30.6,9600.4,工作日,中雨
岷江都江堰,MD0D,92号 车用汽油(ⅥB),1,300874,2023/6/30,5506,31.7,9600.4,工作日,小雨
岷江都江堰,MD0D,95号 车用汽油(ⅥB),2,300873,2023/6/30,5528,31.7,9853.37,工作日,小雨
岷江都江堰,MD0D,92号 车用汽油(ⅥB),3,300874,2023/6/30,3102,31.7,9600.4,工作日,小雨
岷江都江堰,MD0D,95号 车用汽油(ⅥB),4,300873,2023/6/30,3048,31.7,9853.37,工作日,小雨
岷江二王庙,MD0E,0号 车用柴油(Ⅵ),1,300863,2023/6/30,1533,34.4,8807.27,工作日,阴
岷江二王庙,MD0E,92号 车用汽油(ⅥB),2,300874,2023/6/30,5906,34.4,9600.4,工作日,阴
岷江二王庙,MD0E,95号 车用汽油(ⅥB),3,300873,2023/6/30,7644,34.4,9853.37,工作日,阴
岷江二王庙,MD0E,92号 车用汽油(ⅥB),4,300874,2023/6/30,5746,34.4,9600.4,工作日,阴
岷江柳街,MD0G,0号 车用柴油(Ⅵ),1,300863,2023/6/30,1606,31.4,8807.27,工作日,小雨
岷江柳街,MD0G,92号 车用汽油(ⅥB),2,300874,2023/6/30,112,31.4,9600.4,工作日,小雨
岷江柳街,MD0G,95号 车用汽油(ⅥB),3,300873,2023/6/30,1024,31.4,9853.37,工作日,小雨
岷江柳街,MD0G,92号 车用汽油(ⅥB),4,300874,2023/6/30,3787,31.4,9600.4,工作日,小雨
岷江蒲阳,MD0H,0号 车用柴油(Ⅵ),1,300863,2023/6/30,530,28.8,8807.27,工作日,晴
岷江蒲阳,MD0H,92号 车用汽油(ⅥB),2,300874,2023/6/30,1775,28.8,9600.4,工作日,晴
岷江蒲阳,MD0H,92号 车用汽油(ⅥB),3,300874,2023/6/30,2346,28.8,9600.4,工作日,晴
岷江蒲阳,MD0H,95号 车用汽油(ⅥB),4,300873,2023/6/30,951,28.8,9853.37,工作日,晴
岷江驾虹,MD0I,0号 车用柴油(Ⅵ),1,300863,2023/6/30,2777,28.2,8807.27,工作日,小雨
岷江驾虹,MD0I,92号 车用汽油(ⅥB),2,300874,2023/6/30,2989,28.2,9600.4,工作日,小雨
岷江驾虹,MD0I,95号 车用汽油(ⅥB),3,300873,2023/6/30,997,28.2,9853.37,工作日,小雨
岷江驾虹,MD0I,92号 车用汽油(ⅥB),4,300874,2023/6/30,2018,28.2,9600.4,工作日,小雨
岷江迎宾,MD0J,0号 车用柴油(Ⅵ),1,300863,2023/6/30,777,35.6,8807.27,工作日,小雨
岷江迎宾,MD0J,95号 车用汽油(ⅥB),3,300873,2023/6/30,14567,35.6,9853.37,工作日,小雨
岷江迎宾,MD0J,92号 车用汽油(ⅥB),4,300874,2023/6/30,16453,35.6,9600.4,工作日,小雨
岷江沙西,MD0K,92号 车用汽油(ⅥB),1,300874,2023/6/30,1280,26.8,9600.4,工作日,阴
岷江沙西,MD0K,95号 车用汽油(ⅥB),2,300873,2023/6/30,3711,26.8,9853.37,工作日,阴
岷江沙西,MD0K,92号 车用汽油(ⅥB),3,300874,2023/6/30,6707,26.8,9600.4,工作日,阴
岷江沙西,MD0K,0号 车用柴油(Ⅵ),4,300863,2023/6/30,921,26.8,8807.27,工作日,阴
岷江安达,MD0L,0号 车用柴油(Ⅵ),1,300863,2023/6/30,1110,34.8,8807.27,工作日,阴
岷江安达,MD0L,92号 车用汽油(ⅥB),2,300874,2023/6/30,6748,34.8,9600.4,工作日,阴
岷江安达,MD0L,95号 车用汽油(ⅥB),3,300873,2023/6/30,2584,34.8,9853.37,工作日,阴
岷江安达,MD0L,95号 车用汽油(ⅥB),4,300873,2023/6/30,1257,34.8,9853.37,工作日,阴
岷江天府,MD0M,0号 车用柴油(Ⅵ),1,300863,2023/6/30,1619,34.1,8807.27,工作日,小雨
岷江天府,MD0M,92号 车用汽油(ⅥB),2,300874,2023/6/30,4790,34.1,9600.4,工作日,小雨
岷江天府,MD0M,92号 车用汽油(ⅥB),3,300874,2023/6/30,456,34.1,9600.4,工作日,小雨
岷江天府,MD0M,95号 车用汽油(ⅥB),4,300873,2023/6/30,3063,34.1,9853.37,工作日,小雨
