,历史销量,当天温度,当天油价,节假日,当时天气,item_id,sin_day,cos_day,sin_month,cos_month,year,reindexed_id
0,2330.0,34.6,8807.27,工作日,中雨,MD02_300863,-0.207911691,0.978147601,1.22e-16,-1.0,2023,0
1,2315.0,31.2,8807.27,工作日,晴,MD02_300863,-0.406736643,0.913545458,1.22e-16,-1.0,2023,0
2,2301.0,26.2,8807.27,工作日,晴,MD02_300863,-0.587785252,0.809016994,1.22e-16,-1.0,2023,0
3,3091.0,36.2,8807.27,工作日,阴,MD02_300863,-0.743144825,0.669130606,1.22e-16,-1.0,2023,0
4,2343.0,38.5,8807.27,工作日,阴,MD02_300863,-0.866025404,0.5,1.22e-16,-1.0,2023,0
5,1967.0,31.6,8807.27,端午,阴,MD02_300863,-0.951056516,0.309016994,1.22e-16,-1.0,2023,0
6,2294.0,27.1,8807.27,端午,阴,MD02_300863,-0.994521895,0.104528463,1.22e-16,-1.0,2023,0
7,3063.0,26.7,8807.27,端午,中雨,MD02_300863,-0.994521895,-0.104528463,1.22e-16,-1.0,2023,0
8,2503.0,28.6,8807.27,工作日,中雨,MD02_300863,-0.951056516,-0.309016994,1.22e-16,-1.0,2023,0
9,3795.0,37.3,8807.27,工作日,中雨,MD02_300863,-0.866025404,-0.5,1.22e-16,-1.0,2023,0
10,2568.0,37.2,8807.27,工作日,阴,MD02_300863,-0.743144825,-0.669130606,1.22e-16,-1.0,2023,0
11,2697.0,28.8,8807.27,周末,中雨,MD02_300863,-0.587785252,-0.809016994,1.22e-16,-1.0,2023,0
12,2655.0,30.8,8807.27,周末,中雨,MD02_300863,-0.406736643,-0.913545458,1.22e-16,-1.0,2023,0
13,1800.0,26.9,8807.27,工作日,阴,MD02_300863,-0.207911691,-0.978147601,1.22e-16,-1.0,2023,0
14,3009.0,31.8,8807.27,工作日,阴,MD02_300863,5.67e-16,-1.0,1.22e-16,-1.0,2023,0
15,2447.0,28.4,8807.27,工作日,晴,MD02_300863,0.207911691,-0.978147601,1.22e-16,-1.0,2023,0
16,2436.0,34.8,8807.27,工作日,阴,MD02_300863,0.406736643,-0.913545458,1.22e-16,-1.0,2023,0
17,3056.0,26.6,8807.27,工作日,阴,MD02_300863,0.587785252,-0.809016994,1.22e-16,-1.0,2023,0
18,2233.0,26.2,8807.27,周末,阴,MD02_300863,0.743144825,-0.669130606,1.22e-16,-1.0,2023,0
19,3076.0,33.5,8807.27,周末,小雨,MD02_300863,0.866025404,-0.5,1.22e-16,-1.0,2023,0
20,2963.0,38.2,8807.27,工作日,晴,MD02_300863,0.951056516,-0.309016994,1.22e-16,-1.0,2023,0
21,2338.0,27.7,8807.27,工作日,小雨,MD02_300863,0.994521895,-0.104528463,1.22e-16,-1.0,2023,0
22,2279.0,29.6,8807.27,工作日,晴,MD02_300863,0.994521895,0.104528463,1.22e-16,-1.0,2023,0
23,3326.0,32.5,8807.27,工作日,小雨,MD02_300863,0.951056516,0.309016994,1.22e-16,-1.0,2023,0
24,2330.0,27.2,8807.27,工作日,中雨,MD02_300863,0.866025404,0.5,1.22e-16,-1.0,2023,0
25,1418.0,37.7,8807.27,周末,阴,MD02_300863,0.743144825,0.669130606,1.22e-16,-1.0,2023,0
26,2831.0,34.3,8807.27,周末,阴,MD02_300863,0.587785252,0.809016994,1.22e-16,-1.0,2023,0
27,1896.0,36.4,8807.27,工作日,晴,MD02_300863,0.406736643,0.913545458,1.22e-16,-1.0,2023,0
28,2981.0,28.5,8807.27,工作日,阴,MD02_300863,0.207911691,0.978147601,1.22e-16,-1.0,2023,0
29,2376.0,28.0,8634.97,工作日,晴,MD02_300863,0.207911691,0.978147601,0.5,-0.866025404,2023,0
30,3299.0,22.6,8634.97,工作日,小雨,MD02_300863,-1.13e-15,1.0,0.5,-0.866025404,2023,0
31,2576.0,22.2,8634.97,工作日,小雨,MD02_300863,-0.207911691,0.978147601,0.5,-0.866025404,2023,0
32,4149.0,27.0,8634.97,周末,阴,MD02_300863,-0.406736643,0.913545458,0.5,-0.866025404,2023,0
33,2484.0,31.3,8634.97,周末,小雨,MD02_300863,-0.587785252,0.809016994,0.5,-0.866025404,2023,0
34,2904.0,25.7,8634.97,工作日,晴,MD02_300863,-0.743144825,0.669130606,0.5,-0.866025404,2023,0
35,2769.0,24.4,8634.97,工作日,小雨,MD02_300863,-0.866025404,0.5,0.5,-0.866025404,2023,0
36,3339.0,22.0,8634.97,工作日,晴,MD02_300863,-0.951056516,0.309016994,0.5,-0.866025404,2023,0
37,2879.0,24.2,8634.97,工作日,阴,MD02_300863,-0.994521895,0.104528463,0.5,-0.866025404,2023,0
38,2140.0,31.5,8634.97,工作日,小雨,MD02_300863,-0.994521895,-0.104528463,0.5,-0.866025404,2023,0
39,2540.0,28.6,8634.97,周末,小雨,MD02_300863,-0.951056516,-0.309016994,0.5,-0.866025404,2023,0
40,2316.0,22.2,8634.97,周末,晴,MD02_300863,-0.866025404,-0.5,0.5,-0.866025404,2023,0
41,3680.0,27.2,8634.97,工作日,小雨,MD02_300863,-0.743144825,-0.669130606,0.5,-0.866025404,2023,0
42,3154.0,21.4,8634.97,工作日,晴,MD02_300863,-0.587785252,-0.809016994,0.5,-0.866025404,2023,0
43,3193.0,26.9,8634.97,工作日,阴,MD02_300863,-0.406736643,-0.913545458,0.5,-0.866025404,2023,0
44,3851.0,25.0,8634.97,工作日,阴,MD02_300863,-0.207911691,-0.978147601,0.5,-0.866025404,2023,0
45,2159.0,29.3,8634.97,工作日,晴,MD02_300863,5.67e-16,-1.0,0.5,-0.866025404,2023,0
46,3044.0,23.7,8634.97,周末,小雨,MD02_300863,0.207911691,-0.978147601,0.5,-0.866025404,2023,0
