,Unnamed: 0,日期,历史销量,当天温度,当天油价,节假日,当时天气,item_id,,reindexed_id,节假日_embed_0,当时天气_embed_0,节假日_embed_1,当时天气_embed_1,节假日_embed_2,当时天气_embed_2,item_id_embed_0,item_id_embed_1,item_id_embed_2
4663,4663,2023/4/4,919,0.265217391,0,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4666,4666,2023/4/7,2485,0.365217391,0,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4727,4727,2023/6/9,4447,0.6,0.232541249,工作日,小雨,MD23_300863,61,54,0.34693596,-0.45605165,0.09961563,-0.383691,-0.6226144,0.084119916,-0.023914006,-0.029688716,0.057406627
4665,4665,2023/4/6,4842,0.247826087,0,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4699,4699,2023/5/12,5351,0.204347826,0.106135415,工作日,小雨,MD23_300863,61,54,0.34693596,-0.45605165,0.09961563,-0.383691,-0.6226144,0.084119916,-0.023914006,-0.029688716,0.057406627
4689,4689,2023/5/1,5813,0.191304348,0.106135415,劳动节,小雨,MD23_300863,61,54,-0.3833651,-0.45605165,-0.057714194,-0.383691,-0.18704179,0.084119916,-0.023914006,-0.029688716,0.057406627
4736,4736,2023/6/18,5829,0.591304348,0.232541249,周末,阴,MD23_300863,61,54,0.11682984,-0.3706413,-0.119455874,0.35200953,-0.08843416,-0.17355454,-0.023914006,-0.029688716,0.057406627
4688,4688,2023/4/30,6386.605085,0.239130435,0,劳动节,晴,MD23_300863,61,54,-0.3833651,0.16187012,-0.057714194,0.03897214,-0.18704179,-0.612784,-0.023914006,-0.029688716,0.057406627
4703,4703,2023/5/16,6471,0.556521739,0.106135415,工作日,阴,MD23_300863,61,54,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.023914006,-0.029688716,0.057406627
4668,4668,2023/4/9,6488,0.047826087,0,周末,晴,MD23_300863,61,54,0.11682984,0.16187012,-0.119455874,0.03897214,-0.08843416,-0.612784,-0.023914006,-0.029688716,0.057406627
4662,4662,2023/4/3,6575,0.026086957,0,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4695,4695,2023/5/8,6577,0.543478261,0.106135415,工作日,阴,MD23_300863,61,54,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.023914006,-0.029688716,0.057406627
4740,4740,2023/6/22,6652,0.891304348,0.232541249,端午,阴,MD23_300863,61,54,0.27282408,-0.3706413,0.44870573,0.35200953,-0.10796219,-0.17355454,-0.023914006,-0.029688716,0.057406627
4735,4735,2023/6/17,6894,0.569565217,0.232541249,周末,阴,MD23_300863,61,54,0.11682984,-0.3706413,-0.119455874,0.35200953,-0.08843416,-0.17355454,-0.023914006,-0.029688716,0.057406627
4694,4694,2023/5/7,7479,0.313043478,0.106135415,周末,晴,MD23_300863,61,54,0.11682984,0.16187012,-0.119455874,0.03897214,-0.08843416,-0.612784,-0.023914006,-0.029688716,0.057406627
4711,4711,2023/5/24,7524,0.62173913,0.106135415,工作日,阴,MD23_300863,61,54,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.023914006,-0.029688716,0.057406627
4664,4664,2023/4/5,7571,0.356521739,0,清明,晴,MD23_300863,61,54,0.27869418,0.16187012,0.3935554,0.03897214,-0.2981913,-0.612784,-0.023914006,-0.029688716,0.057406627
4716,4716,2023/5/29,7607,0.413043478,0.106135415,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4670,4670,2023/4/11,7739,0.239130435,0,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4669,4669,2023/4/10,8030,0.230434783,0,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4681,4681,2023/4/22,8186,0.156521739,0,周末,阴,MD23_300863,61,54,0.11682984,-0.3706413,-0.119455874,0.35200953,-0.08843416,-0.17355454,-0.023914006,-0.029688716,0.057406627
4676,4676,2023/4/17,8210,0.02173913,0,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4723,4723,2023/6/5,8210,0.826086957,0.232541249,工作日,阴,MD23_300863,61,54,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.023914006,-0.029688716,0.057406627
4691,4691,2023/5/3,8215,0.313043478,0.106135415,劳动节,小雨,MD23_300863,61,54,-0.3833651,-0.45605165,-0.057714194,-0.383691,-0.18704179,0.084119916,-0.023914006,-0.029688716,0.057406627
4712,4712,2023/5/25,8312,0.57826087,0.106135415,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4709,4709,2023/5/22,8647,0.5,0.106135415,工作日,小雨,MD23_300863,61,54,0.34693596,-0.45605165,0.09961563,-0.383691,-0.6226144,0.084119916,-0.023914006,-0.029688716,0.057406627
4731,4731,2023/6/13,8654,0.608695652,0.232541249,工作日,小雨,MD23_300863,61,54,0.34693596,-0.45605165,0.09961563,-0.383691,-0.6226144,0.084119916,-0.023914006,-0.029688716,0.057406627
4748,4748,2023/6/30,8741,0.543478261,0.232541249,工作日,中雨,MD23_300863,61,54,0.34693596,0.27830893,0.09961563,-0.14739233,-0.6226144,-0.49761134,-0.023914006,-0.029688716,0.057406627
4667,4667,2023/4/8,9128,0.269565217,0,周末,晴,MD23_300863,61,54,0.11682984,0.16187012,-0.119455874,0.03897214,-0.08843416,-0.612784,-0.023914006,-0.029688716,0.057406627
4673,4673,2023/4/14,9195,0.069565217,0,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4729,4729,2023/6/11,9196,0.934782609,0.232541249,周末,小雨,MD23_300863,61,54,0.11682984,-0.45605165,-0.119455874,-0.383691,-0.08843416,0.084119916,-0.023914006,-0.029688716,0.057406627
4700,4700,2023/5/13,9822,0.386956522,0.106135415,周末,小雨,MD23_300863,61,54,0.11682984,-0.45605165,-0.119455874,-0.383691,-0.08843416,0.084119916,-0.023914006,-0.029688716,0.057406627
4705,4705,2023/5/18,9853,0.3,0.106135415,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4708,4708,2023/5/21,10354,0.57826087,0.106135415,周末,阴,MD23_300863,61,54,0.11682984,-0.3706413,-0.119455874,0.35200953,-0.08843416,-0.17355454,-0.023914006,-0.029688716,0.057406627
4674,4674,2023/4/15,10453,0.065217391,0,周末,晴,MD23_300863,61,54,0.11682984,0.16187012,-0.119455874,0.03897214,-0.08843416,-0.612784,-0.023914006,-0.029688716,0.057406627
4696,4696,2023/5/9,10549,0.482608696,0.106135415,工作日,阴,MD23_300863,61,54,0.34693596,-0.3706413,0.09961563,0.35200953,-0.6226144,-0.17355454,-0.023914006,-0.029688716,0.057406627
4684,4684,2023/4/26,10657,0.07826087,0,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4718,4718,2023/5/31,10667,0.682608696,0.106135415,工作日,晴,MD23_300863,61,54,0.34693596,0.16187012,0.09961563,0.03897214,-0.6226144,-0.612784,-0.023914006,-0.029688716,0.057406627
4734,4734,2023/6/16,10724,0.608695652,0.232541249,工作日,小雨,MD23_300863,61,54,0.34693596,-0.45605165,0.09961563,-0.383691,-0.6226144,0.084119916,-0.023914006,-0.029688716,0.057406627
4741,4741,2023/6/23,10773,0.686956522,0.232541249,端午,中雨,MD23_300863,61,54,0.27282408,0.27830893,0.44870573,-0.14739233,-0.10796219,-0.49761134,-0.023914006,-0.029688716,0.057406627
4690,4690,2023/5/2,11266,0.365217391,0.106135415,劳动节,晴,MD23_300863,61,54,-0.3833651,0.16187012,-0.057714194,0.03897214,-0.18704179,-0.612784,-0.023914006,-0.029688716,0.057406627
4675,4675,2023/4/16,11797,0.134782609,0,周末,晴,MD23_300863,61,54,0.11682984,0.16187012,-0.119455874,0.03897214,-0.08843416,-0.612784,-0.023914006,-0.029688716,0.057406627
